name,formula,rt
1H-benzotriazole-D4,C6[2]H4HN3,268.1
Atenolol-D7,C14[2]H7H15N2O3,213.5
Atrazine-D5,C8[2]H5H9ClN5,336.5
Bezafibrate-D6,C19[2]H6H14ClNO4,351.7
Climbazole-D4,C15[2]H4H13ClN2O2,359.1
DEET-D6,C12[2]H6H11NO,354.5
Diglyme-D14,C6[2]H14O3,246.1
Diuron-D6,C9[2]H6H4Cl2N2O,335.2
Flufenacet-D4,C14[2]H4H9F4N3O2S,371.8
Hexazinone-D6,C12[2]H6H14N4O2,351.3
Irgarol-D9,C11[2]H9H10N5S,368.3
Isoproturon-D6,C12[2]H6H12N2O,339.6
Linuron-D6,C9[2]H6H4Cl2N2O2,347.7
Methiocarb-D3,C11[2]H3H12NO2S,360.1
Metoprolol-D7,C15[2]H7H18NO3,294.7
Monuron-D6,C9[2]H6H5ClN2O,316.1
Prometryne-D7,C10[2]H7H12N5S,367.6
Sotalol-D7,C12[2]H7H13N2O3S,211.2
Sulfamethazine-13C6,C6[13]C6H14N4O2S,300.8
Sulfamethoxazole-13C6,C4[13]C6H11N3O3S,292.3
Triazophos-D5,C12[2]H5H11N3O3PS,379.8
Triethyl phosphate-D15,C6[2]H15O4P,309.6
Trimethoprim-D9,C14[2]H9H9N4O3,262
Venlafaxine-D6,C17[2]H6H21NO2,323.3
